pdb_id,uniprot_id
4ts1,P00952
1rnt,P00651
6cha,P00766
4tln,P00800
6rsa,P61823
4tmn,P00800
5tln,P00800
1tmn,P00800
1p01,P00778
3at1,P0A786
2tpi,P00760
5tmn,P00800
1p05,P00778
4fab,
1p10,P00778
6gch,P00766
7gch,P00766
2tmn,P00800
1tlp,P00800
1p04,P00778
1p02,P00778
1p03,P00778
1p06,P00778
1rbp,P02753
6abp,P02924
9icd,P08200
7abp,P02924
5er2,P11838
8abp,P02924
1fkf,P62942
4er2,P11838
4er1,P11838
4er4,P11838
3er5,P11838
4apr,P06026
5hvp,P12497
2er9,P11838
4sga,P00776
2ypi,P00942
3er3,P11838
5apr,P06026
2er6,P11838
5er1,P11838
2er0,P11838
1bap,P02924
5abp,P02924
1apb,P02924
6tim,P04789
7gpb,P00489
9abp,P02924
8gpb,P00489
4est,P00772
9hvp,P12497
6gpb,P00489
4tim,P04789
4phv,P12497
1rne,P00797
1igj,
1gca,P23905
1rin,P02867
1fkb,P62942
5est,P00772
1dmb,P0AEX9
1l83,P00720
1ind,
1dbb,
1atr,P19120
1rgl,P00651
1pop,P00784
6rnt,P00651
1rgk,P00651
1gpy,P00489
3gst,P04905
1cps,P00730
1abf,P02924
2lpr,P00778
3lpr,P00778
1ppm,P00798
1hos,P03366
2gst,P04905
5lpr,P00778
1ivp,P04584
1bcd,P00918
1ppl,P00798
8lpr,P00778
7hvp,P03369
1trd,P04789
6lpr,P00778
9lpr,P00778
1him,
1dbj,
1hte,P03366
7lpr,P00778
1mns,P11444
2dbl,
1htf,P03366
1ths,P00734
1dbk,
1hsl,P0AEU0
2drc,P0ABQ4
2hmb,P05413
1thr,P00734
1htg,P03366
1sre,P22629
1tka,P23254
1acj,P04058
1abt,P60615
1tkc,P23254
1lst,P02911
1hgi,P03438
1sri,P22629
1hgj,P03438
1ctr,P0DP23
1dhj,P0ABQ4
1sps,P00524
1adl,P04117
1tys,P0A884
1mfd,
1hge,P03438
1pyg,P00489
2cgr,A2P1G9
1dhi,P0ABQ4
1tni,P00760
2ctc,P00730
1elc,P00772
1tmb,P00734
1add,P03958
1wht,P08819
1srg,P22629
1erb,P18902
2sim,P29768
1mfa,
1thl,P00800
1tnh,P00760
1cbx,P00730
1cil,P00918
1tsi,P04789
1ela,P00772
1inc,P00772
1hps,P03366
1tet,
1fig,
1azm,P00915
1rpa,P20646
1ppc,P00760
1tng,P00760
1cim,P00918
1pph,P00760
1fki,P62942
1rpf,P61823
1cin,P00918
1ett,P00735
1fkg,P62942
1apw,P00798
1tnj,P00760
1ent,P11838
1csi,P23007
1tkb,P23254
1epo,P11838
1bra,P00763
1hgt,P00734
1eed,P11838
1nnb,P03472
1tnl,P00760
1heg,P03366
1gbt,P00760
1apv,P00798
1hef,P03366
1csh,P23007
1iht,P00734
1tnk,P00760
1ppk,P00798
1epq,P11838
1aaq,P03367
1sbg,P03366
2cht,P19080
1dwc,P00734
1ets,P00735
1elb,P00772
1fkh,P62942
1epp,P11838
1mnc,P22894
1dwd,P00734
1siv,P05896
1fta,P09467
1tps,P00760
1drj,P02925
2dri,P02925
1hrn,P00797
1shd,P12931
1drk,P02925
1idb,P04584
1flr,
1tyr,P02766
1cbr,P62965
1ahx,P00509
1utr,P17559
1cka,Q64010
1laf,P02911
1hms,P05413
184l,P00720
1hmr,P05413
186l,P00720
1cny,P00918
1hmt,P05413
1cnw,P00918
1pgp,P00349
187l,P00720
185l,P00720
1cnx,P00918
1ahy,P00509
188l,P00720
1yda,P00918
1lcj,P06239
1ydb,P00918
1prl,P00523
1lah,P02911
1prm,P00523
1ckb,Q64010
1rlp,P00523
1ele,P00772
1cgl,P03956
1ydd,P00918
1lag,P02911
1eld,P00772
1rlq,P00523
1lcp,P00727
2srt,P08254
1tyn,P00760
1hvr,P04585
1pdz,P56252
1css,P23007
1fpc,P00734
1eat,P00772
1hdt,P00734
1ibg,
1hpv,P04587
1atl,P15167
1bty,P00760
1eas,P00772
1ctt,P0ABF6
1csr,P23007
1fiv,P16088
1hbv,P03366
1bma,P00772
1qca,P00484
1tpw,P00940
1lan,P00727
1hih,P03366
1ppi,P00690
1vrt,P04585
1bil,P00797
1hii,P04584
1hti,P60174
1pig,P00690
1rth,P04585
1bim,P00797
1inf,P03474
1vru,P04585
1gym,P14262
1cwc,P62937
1fpi,P00636
1qwf,P00525
1rti,P04585
1qwe,P00525
1njb,P00469
1cpi,P03369
1inh,P06820
1gaf,P01834
1cea,P00747
1sts,P22629
1dar,Q5SHN5
1nja,P00469
1slg,P22629
1nje,P00469
1str,P22629
1mik,P62937
1ceb,P00747
1tsy,P00469
1njc,P00469
1njd,P00469
1mai,P10688
1tsv,P00469
1lkk,P06239
1lkl,P06239
1sld,P22629
1zsb,P00918
1pot,P0AFK9
2olb,P06202
1det,P00651
1btn,Q62261
1sle,P22629
1swi,P03069
2upj,P03367
1kel,
2csm,P32178
1grp,P08200
1lhd,P00734
1sln,P08254
1mmq,P09237
1hsg,P03367
1lhc,P00734
1jrs,P00760
1fmb,P32542
1lhe,P00734
1aht,P00734
1pbk,Q00688
1hsh,P04584
1igb,Q01693
1cwb,P62937
1dud,P06968
1gai,P69327
1gno,P03366
1mmp,P09237
1tcx,P04587
1jao,P22894
1rdn,P08661
1rdj,P08661
1bmn,P00734
1gnn,P03366
1mmr,P09237
1jaq,P22894
1rev,P04585
1rdl,P08661
1gnm,P03366
1noi,P00489
1noj,P00489
2csn,P40233
1lhf,P00734
1nok,P00489
1bmm,P00734
1rdi,P08661
1rnm,P61823
1mdl,P11444
1tcw,P05896
1mtr,P03369
1lt6,P32890
1kvo,P14555
1fkw,P03958
1lhg,P00734
1jlx,Q71QF2
1bkm,P00524
1tze,P62993
1jld,P04584
1uwb,P03366
2rox,P02766
1dth,P15167
1tvr,P03366
1lt5,P32890
1lfo,P02692
1aq1,P24941
1aqj,P14385
1rt1,P04585
1rt2,P04585
1bxl,Q07817
1avp,P03252
1ao0,P00497
1okl,P00918
1nlp,P00523
1avn,P00918
1aj7,
1jev,P06202
1jeu,P06202
2adm,P14385
1aqi,P14385
1ag9,P61949
1ado,P00883
2h4n,P00918
1drv,P04036
3gbq,Q60631
2mas,Q27546
1nlo,P00523
1shc,P29353
1rst,P22629
1gbq,Q60631
2hrp,P01837
1jet,P06202
2aac,P0A9E0
1uvt,P00735
1qbr,P04585
1qbt,P04585
1nox,Q60049
1ajq,P06875
1aqc,Q02410
1irs,P35568
1mpa,A2NHM3
1ai7,P06875
1qbu,P04585
4vgc,P00766
1ai6,P06875
1sqc,P33247
